bucket,value
2026-02-08T16,2396.794
2026-02-08T17,2346.656
2026-02-08T18,2381.749
2026-02-08T19,2316.674
2026-02-08T20,2013.328
2026-02-08T21,1369.766
2026-02-08T22,917.537
2026-02-08T23,654.98
2026-02-09T00,584.828
2026-02-09T01,520.961
2026-02-09T02,503.51
2026-02-09T03,491.784
2026-02-09T04,485.969
2026-02-09T05,478.518
2026-02-09T06,495.071
2026-02-09T07,616.133
2026-02-09T08,862.597
2026-02-09T09,1429.921
2026-02-09T10,2263.314
2026-02-09T11,2333.744
2026-02-09T12,2358.63
2026-02-09T13,2359.783
2026-02-09T14,2316.341
2026-02-09T15,2297.556
2026-02-09T16,2280.296
2026-02-09T17,2262.207
2026-02-09T18,2257.408
2026-02-09T19,2241.814
2026-02-09T20,2173.561
2026-02-09T21,1861.417
2026-02-09T22,1068.701
2026-02-09T23,687.871
2026-02-10T00,583.606
2026-02-10T01,517.335
2026-02-10T02,493.815
2026-02-10T03,482.2
2026-02-10T04,467.691
2026-02-10T05,463.02
2026-02-10T06,476.841
2026-02-10T07,579.411
2026-02-10T08,935.85
2026-02-10T09,1500.209
2026-02-10T10,2280.469
2026-02-10T11,2321.279
2026-02-10T12,2378.962
2026-02-10T13,2379.278
2026-02-10T14,2398.07
2026-02-10T15,2362.088
2026-02-10T16,2342.675
2026-02-10T17,2286.778
2026-02-10T18,2245.752
2026-02-10T19,2235.761
2026-02-10T20,2177.212
2026-02-10T21,1869.327
2026-02-10T22,1097.864
2026-02-10T23,734.053
2026-02-11T00,614.354
2026-02-11T01,562.885
2026-02-11T02,541.289
2026-02-11T03,526.001
2026-02-11T04,515.89
2026-02-11T05,506.305
2026-02-11T06,514.621
2026-02-11T07,614.195
2026-02-11T08,935.2
2026-02-11T09,1533.03
2026-02-11T10,2276.234
2026-02-11T11,2334.318
2026-02-11T12,2413.253
2026-02-11T13,2387.552
2026-02-11T14,2375.456
2026-02-11T15,2356.329
2026-02-11T16,2329.168
2026-02-11T17,2273.461
2026-02-11T18,2260.415
2026-02-11T19,2227.106
2026-02-11T20,2180.975
2026-02-11T21,1871.058
2026-02-11T22,1098.759
2026-02-11T23,742.731
2026-02-12T00,593.065
2026-02-12T01,537.476
2026-02-12T02,518.519
2026-02-12T03,505.885
2026-02-12T04,497.141
2026-02-12T05,496.028
2026-02-12T06,505.628
2026-02-12T07,628.503
2026-02-12T08,935.639
2026-02-12T09,1553.437
2026-02-12T10,2325.63
2026-02-12T11,2359.228
2026-02-12T12,2432.183
2026-02-12T13,2433.305
2026-02-12T14,2406.73
2026-02-12T15,2373.002
2026-02-12T16,2371.169
2026-02-12T17,2349.108
2026-02-12T18,2344.555
2026-02-12T19,2293.054
