bucket,value
2026-01-28T01,543.617
2026-01-28T02,612.282
2026-01-28T03,565.288
2026-01-28T04,591.751
2026-01-28T05,589.698
2026-01-28T06,563.463
2026-01-28T07,623.916
2026-01-28T08,729.993
2026-01-28T09,782.233
2026-01-28T10,980.472
2026-01-28T11,1133.314
2026-01-28T12,1295.966
2026-01-28T13,1345.468
2026-01-28T14,1316.953
2026-01-28T15,1269.504
2026-01-28T16,1246.463
2026-01-28T17,1182.133
2026-01-28T18,982.069
2026-01-28T19,989.369
2026-01-28T20,958.572
2026-01-28T21,872.114
2026-01-28T22,693.265
2026-01-28T23,538.826
2026-01-29T00,480.671
2026-01-29T01,552.761
2026-01-29T02,661.579
2026-01-29T03,626.675
2026-01-29T04,615.040
2026-01-29T05,613.215
2026-01-29T06,696.711
2026-01-29T07,753.059
2026-01-29T08,790.473
2026-01-29T09,844.996
2026-01-29T10,1139.285
2026-01-29T11,1325.211
2026-01-29T12,1370.153
2026-01-29T13,1442.926
2026-01-29T14,1435.398
2026-01-29T15,1404.144
2026-01-29T16,1411.444
2026-01-29T17,1281.866
2026-01-29T18,1044.382
2026-01-29T19,1055.561
2026-01-29T20,1014.269
2026-01-29T21,953.358
2026-01-29T22,646.066
2026-01-29T23,467.896
2026-01-30T00,408.125
2026-01-30T01,510.556
2026-01-30T02,604.089
2026-01-30T03,633.974
2026-01-30T04,647.206
2026-01-30T05,638.765
2026-01-30T06,657.016
2026-01-30T07,741.880
2026-01-30T08,846.364
2026-01-30T09,790.244
2026-01-30T10,1153.884
2026-01-30T11,1300.115
2026-01-30T12,1381.786
2026-01-30T13,1416.690
2026-01-30T14,1376.995
2026-01-30T15,1358.516
2026-01-30T16,1439.503
2026-01-30T17,1342.091
2026-01-30T18,1073.582
2026-01-30T19,1075.635
2026-01-30T20,1042.784
2026-01-30T21,993.280
2026-01-30T22,709.257
2026-01-30T23,465.614
2026-01-31T00,373.552
2026-01-31T01,449.689
2026-01-31T02,664.695
2026-01-31T03,667.547
2026-01-31T04,678.097
2026-01-31T05,675.531
2026-01-31T06,726.859
2026-01-31T07,782.749
2026-01-31T08,875.709
2026-01-31T09,799.858
2026-01-31T10,1080.450
2026-01-31T11,1199.645
2026-01-31T12,1360.757
2026-01-31T13,1436.323
2026-01-31T14,1405.812
2026-01-31T15,1369.882
2026-01-31T16,1365.320
2026-01-31T17,1340.796
2026-01-31T18,1172.840
2026-01-31T19,1022.564
2026-01-31T20,1014.580
2026-01-31T21,973.517
2026-01-31T22,781.894
2026-01-31T23,548.922
2026-02-01T00,304.514
2026-02-01T01,280.022
2026-02-01T02,268.154
2026-02-01T03,259.317
2026-02-01T04,267.649
2026-02-01T05,263.609
2026-02-01T06,279.769
2026-02-01T07,304.009
2026-02-01T08,387.586
2026-02-01T09,503.736
2026-02-01T10,861.527
2026-02-01T11,1105.189
2026-02-01T12,1164.274
2026-02-01T13,1294.816
2026-02-01T14,1281.434
2026-02-01T15,1253.154
2026-02-01T16,1264.516
2026-02-01T17,1259.971
2026-02-01T18,1199.371
2026-02-01T19,1192.301
2026-02-01T20,1148.619
2026-02-01T21,864.557
2026-02-01T22,671.395
2026-02-01T23,591.858
2026-02-02T00,561.057
2026-02-02T01,623.677
2026-02-02T02,612.062
2026-02-02T03,602.972
2026-02-02T04,527.222
2026-02-02T05,512.577
2026-02-02T06,450.966
2026-02-02T07,511.567
2026-02-02T08,604.234
2026-02-02T09,698.670
2026-02-02T10,1065.806
2026-02-02T11,1215.034
2026-02-02T12,1272.099
2026-02-02T13,1311.489
2026-02-02T14,1289.269
2026-02-02T15,1222.104
2026-02-02T16,1247.859
2026-02-02T17,1152.666
2026-02-02T18,946.878
2026-02-02T19,956.725
2026-02-02T20,937.283
2026-02-02T21,854.968
2026-02-02T22,612.062
2026-02-02T23,522.929
2026-02-03T00,460.069
2026-02-03T01,495.420
2026-02-03T02,583.798
2026-02-03T03,579.758
2026-02-03T04,583.293
2026-02-03T05,569.152
2026-02-03T06,558.547
2026-02-03T07,563.092
2026-02-03T08,638.592
2026-02-03T09,687.831
2026-02-03T10,1115.327
2026-02-03T11,1217.592
2026-02-03T12,1309.000
2026-02-03T13,1304.455
2026-02-03T14,1277.437
2026-02-03T15,1260.771
2026-02-03T16,1258.499
2026-02-03T17,1180.474
2026-02-03T18,945.641
2026-02-03T19,938.824
2026-02-03T20,917.108
2026-02-03T21,849.184
2026-02-03T22,594.908
2026-02-03T23,497.188
2026-02-04T00,462.085
2026-02-04T01,518.394
2026-02-04T02,587.580
2026-02-04T03,582.025
2026-02-04T04,587.580
2026-02-04T05,574.450
2026-02-04T06,507.031
2026-02-04T07,590.358
2026-02-04T08,544.149
2026-02-04T09,711.308
2026-02-04T10,1015.324
2026-02-04T11,1118.094
2026-02-04T12,1208.238
2026-02-04T13,1297.625
2026-02-04T14,1286.010
2026-02-04T15,1274.142
2026-02-04T16,1278.687
2026-02-04T17,1169.605
2026-02-04T18,1021.889
2026-02-04T19,1036.535
2026-02-04T20,1004.719
2026-02-04T21,935.280
2026-02-04T22,657.271
2026-02-04T23,584.802
2026-02-05T00,549.476
2026-02-05T01,536.093
2026-02-05T02,515.892
2026-02-05T03,510.084
2026-02-05T04,513.367
2026-02-05T05,473.721
2026-02-05T06,349.736
2026-02-05T07,422.461
2026-02-05T08,532.558
2026-02-05T09,703.259
2026-02-05T10,1030.016
2026-02-05T11,1147.941
2026-02-05T12,1279.502
2026-02-05T13,1284.805
2026-02-05T14,1278.492
2026-02-05T15,1240.615
2026-02-05T16,1224.454
2026-02-05T17,1127.992
2026-02-05T18,945.423
2026-02-05T19,946.433
2026-02-05T20,919.414
2026-02-05T21,850.224
2026-02-05T22,623.969
2026-02-05T23,509.074
2026-02-06T00,476.215
2026-02-06T01,562.065
2026-02-06T02,598.930
2026-02-06T03,585.800
2026-02-06T04,592.870
2026-02-06T05,534.543
2026-02-06T06,502.475
2026-02-06T07,551.713
